fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,Aug,15,KARNATAKA,1529,BENGALURU SOUTH,1432609,378.657007583416,26,111,236.886332394,7386,1,23622,776563,115878,41824,10723,4397,276.35246,3453.74901019401,29043,44835,121501,272295,21,202239,429647,31008,2940.51021780001,418347,78,51.02,68.69,101.17,NA
2025-2026,Aug,15,KARNATAKA,1530,Yadgir,1581598,350.780829398339,23,532,11.522863841,8834,0,22991,1836295,325445,65285,253379,37620,0,6452.89369504123,78848,120831,152916,312500,30,284382,569631,31825,6441.37083120023,1032539,69,62.98,95.4,100.01,NA
2025-2026,Sep,15,KARNATAKA,1503,BENGALURU RURAL,764047,367.500723465574,33,351,203.894215373,2499,0,7165,630106,77321,22165,37241,7773,165.53521,2685.07353397299,18600,30770,53242,125901,34,122585,266671,9664,2315.64410859999,321279,62,47.83,69.33,100.01,NA
2025-2026,Sep,15,KARNATAKA,1504,BELAGAVI,5686036,350.828302168497,27,3090,550.051017292,17650,0,51501,5207525,593718,96074,579526,77784,874.25867,19693.781229792,190638,271533,383004,833184,456,849110,1711580,69151,18269.4715425,3207978,48,34.1,70.69,102.33,NA
2025-2026,Sep,15,KARNATAKA,1509,CHIKKAMAGALURU,1040733,368.894943548842,29,100,444.77190177,9252,0,14845,886430,124349,39697,34959,8057,327.15762,4041.92496987,29789,52002,87075,214597,40,180288,402884,24097,3269.9954481,465618,68,57.96,73.96,100.15,NA
2025-2026,Sep,15,KARNATAKA,1516,HASSAN,1772125,376.704822746145,29,274,603.475342354,13283,3,27619,1501406,199969,63009,27322,6450,424.95236,6684.29651335399,51674,93463,151482,376316,129,284428,655675,40902,5655.86881099999,767518,68,33.77,55.91,100.14,NA
2025-2026,Sep,15,KARNATAKA,1518,KODAGU,220376,356.262376496303,31,51,79.704687728,1272,2,3705,175683,11790,5510,8180,2758,98.72153,804.318648628,5546,9240,23509,56349,20,88687,192408,4977,625.8924309,87196,76,63.56,68.01,100.19,NA
2025-2026,Sep,15,KARNATAKA,1521,MANDYA,993834,366.086254210648,25,251,160.868817165,5756,0,18324,1122156,129203,33564,6024,1980,229.79892,4498.72660396503,44603,65100,118668,286168,35,342922,730685,24080,4108.05886680003,693034,70,64.96,67.55,100.5,NA
2025-2026,Sep,15,KARNATAKA,1523,RAICHUR,6307124,286.316842861522,25,821,410.525925746,12870,0,29280,4504161,803825,126479,1151683,157793,252.8839,13559.5813983459,179194,335020,285847,667817,36,384290,862557,42150,12896.1715725999,2464695,49,44.66,74.61,100.1,NA
2025-2026,Sep,15,KARNATAKA,1526,UDUPI,346492,371.709683714352,29,21,50.238418015,1814,0,8638,316739,13732,5418,15554,5513,137.52717,1365.115123115,10703,17411,41702,100152,81,126397,257776,10452,1177.3495351,206975,89,78.96,71.73,100.33,NA
2025-2026,Sep,15,KARNATAKA,1527,UTTARA KANNADA,696328,363.418110610048,25,85,93.0085533869999,4889,0,14272,680553,39300,12919,25252,7231,235.0199,2801.281307687,26735,43756,78764,200473,35,206307,457492,19161,2473.2528543,368840,75,35.95,63.95,100.2,NA
2025-2026,Sep,15,KARNATAKA,1516,HASSAN,1772125,375.484019725986,29,277,603.475342354,13547,3,27656,1536856,204232,63064,28158,6451,424.95236,6799.07638855399,52243,94463,151557,376522,151,284488,655832,41203,5770.64868619999,786423,68,34,56.25,100.15,NA
2025-2026,Sep,15,KARNATAKA,1518,KODAGU,220376,355.706425186907,32,53,79.704687728,1302,2,3692,178966,11884,5511,8293,2761,98.72153,815.019778628001,5577,9289,23520,56373,20,88693,192422,4994,636.593560900001,88701,76,63.79,68.13,100.19,NA
2025-2026,Sep,15,KARNATAKA,1522,MYSURU,980972,380.118324872667,30,118,186.723993116,7493,0,21143,1061973,191800,58088,124343,35411,175.07099,4398.54896131601,34382,59601,118047,304547,90,350946,851115,28636,4036.75397820001,557381,76,32.12,56.52,100.5,NA
2025-2026,Sep,15,KARNATAKA,1524,SHIVAMOGGA,1268393,348.138622467542,23,383,165.883014743,3452,0,8387,1360585,304789,79365,77017,17480,351.27372,5253.878611243,57873,94671,133329,347049,55,250545,576498,11839,4736.7218765,765384,68,38.78,74.85,100.27,NA
2025-2026,Sep,15,KARNATAKA,1502,BENGALURU,32527,328.363119503363,26,1,16.851591089,306,2,1256,15464,3191,2412,425,274,32.6429,100.272563889,578,926,5347,12024,3,63210,141372,1562,50.7780728,8017,81,63.75,38,103.61,NA
2025-2026,Sep,15,KARNATAKA,1503,BENGALURU RURAL,764047,366.878389236302,33,351,201.859215373,2530,0,7150,627814,76935,22159,37123,7773,165.53521,2670.708315973,18562,30717,53233,125882,31,122583,266664,9680,2303.3138906,320156,62,47.82,69.34,100.01,NA
2025-2026,Sep,15,KARNATAKA,1504,BELAGAVI,5686036,349.790752593547,27,3085,541.726017292,17643,0,51431,5186332,592594,96069,573923,77745,874.25867,19557.2944220919,190437,271200,382937,833002,449,849019,1711405,69074,18141.3097348,3194871,48,34.09,70.69,102.29,NA
2025-2026,Sep,15,KARNATAKA,1506,BIDAR,2594972,360.35096673117,27,463,172.02919013,13334,0,36057,2653685,666726,81098,489064,55173,347.95946,10082.5682016301,95738,146253,159712,317110,29,271604,508713,49391,9562.57955150005,1475439,58,54.33,86.36,100.26,NA
2025-2026,Sep,15,KARNATAKA,1509,CHIKKAMAGALURU,1040733,368.736949454444,29,99,444.77190177,9214,0,14841,875804,123036,39685,34698,8056,327.15762,4001.34247457,29628,51711,87052,214551,38,180288,402877,24055,3229.4129528,459637,68,57.95,73.89,100.16,NA
2025-2026,Sep,15,KARNATAKA,1510,CHITRADURGA,2176933,383.359364970193,22,218,394.118718819,12227,0,30166,1350724,271163,83649,374392,85781,404.49786,5976.74352771899,60538,95603,165059,399668,14,338324,792622,42393,5178.12694889999,747537,60,42.83,68.45,100.99,NA
2025-2026,Sep,15,KARNATAKA,1512,DAVANAGERE,1281796,367.650928839948,28,239,199.35974124,2866,0,11264,1261143,305091,62042,232276,41906,349.87884,5185.84253473999,43593,73644,112644,267507,49,242197,532758,14130,4636.60395349998,668963,67,36.44,71.36,100.06,NA
2025-2026,Sep,15,KARNATAKA,1518,KODAGU,220376,355.70633695584,31,51,79.704687728,1263,2,3679,175477,11766,5510,8180,2758,98.72153,802.609026628,5542,9233,23509,56349,20,88686,192407,4942,624.1828089,87104,76,63.57,68.03,100.2,NA
2025-2026,Sep,15,KARNATAKA,1525,TUMAKURU,1993200,375.596389693575,30,400,742.531062323,22691,0,36856,2276250,331887,74468,194759,39154,528.55656,9820.600442723,75818,127910,199881,481244,178,406941,898826,59547,8549.5128204,1159910,69,28.65,70.15,100.26,NA
2025-2026,Sep,15,KARNATAKA,1531,VIJAYANAGARA,3765746,323.826970084563,36,1214,454.300046547,3382,0,14583,4099890,940951,114667,1013187,94415,0,13730.849610347,112437,209757,174425,459779,256,256821,658752,17965,13276.5495638,2154628,48,26.18,78.26,100.06,NA
2025-2026,Sep,15,KARNATAKA,1502,BENGALURU,32527,325.178482258963,27,1,16.851591089,312,2,1254,16149,3341,2417,453,276,32.6429,102.007564189,593,942,5357,12038,4,63213,141375,1566,52.5130731,8406,81,63.78,38.39,103.48,NA
2025-2026,Sep,15,KARNATAKA,1503,BENGALURU RURAL,764047,366.837233585885,34,351,206.299215373,2507,0,7172,636434,78067,22171,37731,7782,165.53521,2706.51130457299,18683,30918,53260,125933,37,122595,266693,9679,2334.67687919999,324392,62,47.93,69.29,100.01,NA
2025-2026,Sep,15,KARNATAKA,1504,BELAGAVI,5686036,350.26002456901,27,3098,562.977137292,17879,0,51474,5252552,597710,96130,587644,77837,874.25867,19834.825732992,191247,272569,383177,833558,465,849210,1711780,69353,18397.5899257,3234850,48,34,70.65,102.32,NA
2025-2026,Sep,15,KARNATAKA,1508,CHAMARAJA NAGARA,998712,375.354152034069,24,340,140.116932576,3742,0,15777,974992,294550,69949,94604,26071,188.09141,3987.88129657601,39330,60577,100689,240303,34,225896,518565,19519,3659.67295400001,560534,69,26.73,69.27,100.35,NA
2025-2026,Sep,15,KARNATAKA,1517,HAVERI,2059620,360.25712369599,28,685,439.335441021,5573,0,18774,1516088,249496,50477,244282,41317,382.97766,6284.12812252106,52621,93989,142637,350271,92,290941,642295,24347,5461.81502150006,763786,53,29.53,69.29,100.18,NA
2025-2026,Sep,15,KARNATAKA,1519,KOLAR,1590895,371.83766506297,36,1156,407.468497681,5941,1,19255,2053580,517324,77803,121509,20149,493.32845,8536.78086988114,56653,86767,117673,293924,217,247009,585701,25196,7635.98392220014,1119408,52,41.04,64.56,100.08,NA
2025-2026,Sep,15,KARNATAKA,1528,CHIKKABALLAPURA,1225743,368.864527806287,30,1322,268.932965025,5733,0,16707,1207227,245094,63676,161020,39707,230.35081,4952.315948125,39344,65475,113050,284702,210,224341,535974,22440,4453.0321731,644559,63,34.12,67.88,100.08,NA
2025-2026,Sep,15,KARNATAKA,1529,BENGALURU SOUTH,1700785,376.835418443179,27,116,266.461692394,7702,1,23743,843412,126438,41883,11690,4397,276.35246,3721.08929179398,30453,47218,121642,272596,33,202291,429749,31445,3178.27513939998,456394,79,50.28,67.82,101.25,NA
2025-2026,Sep,15,KARNATAKA,1506,BIDAR,2594972,360.308332180727,27,463,172.02919013,13367,0,36047,2657740,667755,81117,489768,55178,347.95946,10096.0473178301,95814,146377,159728,317149,30,271618,508744,49414,9576.05866770005,1477912,58,54.37,86.15,100.26,NA
2025-2026,Sep,15,KARNATAKA,1509,CHIKKAMAGALURU,1040733,369.195530972352,29,100,444.77190177,9250,0,14844,885112,124045,39691,34959,8057,327.15762,4039.72346987,29762,51954,87072,214588,40,180288,402884,24094,3267.7939481,464990,68,57.99,73.96,100.15,NA
2025-2026,Sep,15,KARNATAKA,1512,DAVANAGERE,1281796,368.420154605556,28,240,199.35974124,2901,0,11259,1264961,305972,62049,232763,41925,349.87884,5209.60985313998,43659,73762,112663,267550,52,242197,532758,14160,4660.37127189999,670932,67,36.48,71.39,100.06,NA
2025-2026,Sep,15,KARNATAKA,1521,MANDYA,993834,365.337561433809,25,251,160.868817165,5756,0,18324,1122102,129203,33564,6028,1980,229.79892,4490.12782076499,44604,65101,118669,286170,35,342922,730685,24080,4099.46008359999,692998,70,64.96,67.56,100.5,NA
2025-2026,Sep,15,KARNATAKA,1527,UTTARA KANNADA,696328,363.643076763592,25,85,93.0085533869999,4889,0,14268,680075,39300,12919,25252,7231,235.0199,2801.074107687,26734,43753,78764,200473,35,206307,457492,19157,2473.0456543,368606,75,35.92,63.93,100.2,NA
2025-2026,Sep,15,KARNATAKA,1528,CHIKKABALLAPURA,1225743,368.592539924233,30,1321,261.717965025,5723,0,16697,1200524,243509,63672,159878,39703,230.35081,4917.110679025,39268,65341,113042,284684,208,224338,535963,22420,4425.041904,640914,63,34.12,67.84,100.08,NA
2025-2026,Sep,15,KARNATAKA,1531,VIJAYANAGARA,3765746,324.095024402405,36,1217,454.300046547,3443,0,14554,4103284,942022,114669,1013712,94415,0,13752.839327647,112468,209836,174426,459785,257,256823,658769,17997,13298.5392811,2156309,48,26.21,78.27,100.06,NA
2025-2026,Aug,15,KARNATAKA,1501,BAGALKOTE,1936992,324.45849984268,25,1588,205.319015479,5140,0,14217,1814843,267153,54952,171742,24874,433.70001,6527.43139777889,70954,117176,141717,318037,66,278794,566431,19357,5888.41237229989,1060998,57,40.25,76.07,100.18,NA
2025-2026,Aug,15,KARNATAKA,1503,BENGALURU RURAL,651548,365.731962753327,32,341,201.674215373,2434,0,7072,597691,72471,22103,35598,7769,165.53521,2553.15645087299,18127,29982,53156,125678,25,122549,266557,9506,2185.94702549999,305654,61,47.92,68.73,100.01,NA
2025-2026,Aug,15,KARNATAKA,1505,BALLARI,3932896,279.071737444984,33,1942,82.388664296,1386,0,8287,3131656,590324,70580,998588,100145,227.41193,9049.36740429609,93812,195797,118673,339215,44,175992,491683,9673,8739.56681000009,1740640,35,83.38,93.55,100,NA
2025-2026,Aug,15,KARNATAKA,1512,DAVANAGERE,1145870,368.292501304101,28,237,161.31751124,2821,0,10996,1230734,299472,61982,228354,41861,349.87884,5043.89738424001,43081,72681,112508,267154,49,242129,532568,13817,4532.70103300001,654376,67,36.12,71.61,100.06,NA
2025-2026,Aug,15,KARNATAKA,1516,HASSAN,1533739,376.749117376555,28,262,540.297842354,12975,3,27238,1421093,186902,62917,26127,6443,424.95236,6319.205536954,50215,90710,151281,375841,101,284333,655497,40213,5353.9553346,725782,68,33.17,54.95,100.09,NA
2025-2026,Aug,15,KARNATAKA,1519,KOLAR,1351103,370.777681749364,35,1155,358.885107681,5392,1,19390,1969498,494868,77697,116594,20124,493.32845,8154.67258418108,55875,85510,117564,293629,182,246917,585500,24782,7302.45902650008,1072658,52,41.04,64.27,100.05,NA
2025-2026,Aug,15,KARNATAKA,1528,CHIKKABALLAPURA,982328,370.96658415445,29,1291,246.177965025,5497,0,16731,1148032,233785,63645,152434,39679,230.35081,4735.34387042502,38667,64312,112979,284518,173,224305,535875,22228,4258.81509540002,613346,63,34.11,67.83,100.08,NA
2025-2026,Sep,15,KARNATAKA,1501,BAGALKOTE,2187482,324.043776119749,25,1595,211.979015479,5292,0,14379,1846639,273430,54968,174382,24891,433.70001,6629.59777237896,71528,118116,141780,318103,66,278937,566583,19671,5983.91874689996,1078691,57,40.36,75.25,100.18,NA
2025-2026,Sep,15,KARNATAKA,1503,BENGALURU RURAL,764047,367.604377289731,33,349,201.859215373,2507,0,7141,620160,75989,22157,36811,7773,165.53521,2647.129731573,18406,30483,53228,125867,31,122578,266642,9648,2279.7353062,316440,62,47.77,69.35,100.01,NA
2025-2026,Sep,15,KARNATAKA,1516,HASSAN,1772125,377.254746370383,28,268,596.260342354,13245,3,27486,1476878,195545,62964,26933,6446,424.95236,6592.80505545398,51211,92592,151412,376141,124,284405,655620,40731,5571.59235309998,754513,68,33.68,55.78,100.13,NA
2025-2026,Sep,15,KARNATAKA,1517,HAVERI,2059620,360.980319733921,28,675,393.640441021,5349,0,18968,1496682,246240,50440,241285,41300,382.97766,6179.34557002105,52144,93138,142581,350143,87,290887,642181,24317,5402.72746900005,754784,53,29.38,69.26,100.15,NA
2025-2026,Sep,15,KARNATAKA,1519,KOLAR,1590895,372.359882356633,35,1155,407.468497681,5890,1,19166,2011588,505966,77769,118897,20141,493.32845,8391.14365798114,56310,86214,117652,293847,199,246952,585601,25056,7490.34671030014,1095841,52,40.97,64.38,100.05,NA
2025-2026,Sep,15,KARNATAKA,1523,RAICHUR,6307124,285.744235418883,25,818,363.350925746,12720,0,29332,4466668,797995,126442,1139672,157745,252.8839,13379.4811510459,178256,333577,285788,667655,36,384178,862268,42052,12763.2463252999,2444456,49,44.78,74.55,100.09,NA
2025-2026,Sep,15,KARNATAKA,1525,TUMAKURU,1993200,375.418851940037,29,397,717.186062323,22581,0,36713,2247792,327674,74389,192846,39147,528.55656,9684.377542723,75396,127137,199777,480999,169,406913,898742,59294,8438.6349204,1145825,69,28.48,70.05,100.25,NA
2025-2026,Sep,15,KARNATAKA,1527,UTTARA KANNADA,696328,361.793293661134,25,84,85.2385533869999,4791,0,14301,675452,38956,12901,25102,7227,235.0199,2763.998491287,26620,43549,78728,200373,32,206294,457453,19092,2443.7400379,365991,74,35.94,64.09,100.2,NA
2025-2026,Sep,15,KARNATAKA,1529,BENGALURU SOUTH,1700785,375.746882433832,27,114,260.011332394,7585,1,23763,825365,122810,41874,11586,4397,276.35246,3637.64704859399,30172,46755,121621,272548,27,202276,429722,31348,3101.2832562,445976,79,50.35,67.93,101.17,NA
2025-2026,Sep,15,KARNATAKA,1509,CHIKKAMAGALURU,1040733,368.806101761072,29,91,407.58690177,9087,0,14785,842896,118948,39653,33613,8047,327.15762,3843.39640127,28975,50582,86945,214333,37,180257,402833,23872,3108.6518795,442212,68,57.81,73.86,100.16,NA
2025-2026,Sep,15,KARNATAKA,1516,HASSAN,1772125,375.869905101637,28,266,540.297842354,13186,3,27330,1454082,192939,62941,26587,6440,424.95236,6430.70683585399,50767,91750,151338,375973,119,284364,655557,40516,5465.45663349999,742738,68,33.43,55.43,100.11,NA
2025-2026,Sep,15,KARNATAKA,1517,HAVERI,2059620,360.312250255878,28,670,390.865441021,5094,0,19224,1489044,245001,50451,240302,41293,382.97766,6139.05104472114,51930,92784,142560,350093,87,290863,642128,24318,5365.20794370014,751019,53,29.42,69.32,100.12,NA
2025-2026,Sep,15,KARNATAKA,1502,BENGALURU,32527,330.207201657459,25,1,16.851591089,291,2,1261,14480,2956,2404,432,274,32.6429,97.308493889,568,914,5342,12013,3,63202,141360,1552,47.8140028,7592,81,63.72,38.02,103.65,NA
2025-2026,Sep,15,KARNATAKA,1506,BIDAR,2594972,360.46352925128,27,462,144.83419013,12392,0,36729,2635355,662486,81078,485497,55154,347.95946,9992.28729143008,95502,145801,159649,316975,28,271525,508548,49121,9499.49364130007,1465801,57,54.18,86.53,100.24,NA
2025-2026,Sep,15,KARNATAKA,1507,VIJAYPURA,1749339,368.854382725651,24,788,156.555351658,8719,2,29981,1429656,245339,59044,32195,5684,423.91179,5853.81595555823,57189,86224,139306,297301,47,357257,782905,38700,5273.34881390023,773394,73,63.33,80.36,100.02,NA
2025-2026,Sep,15,KARNATAKA,1509,CHIKKAMAGALURU,1040733,370.377690443895,29,93,407.58690177,9093,0,14806,848557,119730,39660,33695,8046,327.15762,3877.61034047,29146,50882,86969,214358,39,180258,402809,23899,3142.8658187,445253,68,57.93,73.92,100.16,NA
2025-2026,Sep,15,KARNATAKA,1524,SHIVAMOGGA,1268393,348.276547316925,23,377,143.189684743,3256,0,8336,1328700,298842,79327,75509,17476,351.27372,5122.01388894298,57119,93339,133180,346629,48,250508,576379,11592,4627.55048419998,749577,67,38.48,75.32,100.24,NA
2025-2026,Sep,15,KARNATAKA,1525,TUMAKURU,1993200,377.526537969584,29,382,695.541062323,22253,0,36749,2201578,320107,74331,188953,39104,528.55656,9535.638826423,74496,125569,199600,480619,162,406876,898650,59002,8311.5412041,1122013,69,28.33,69.92,100.25,NA
2025-2026,Sep,15,KARNATAKA,1526,UDUPI,346492,371.045156672966,29,21,39.508418015,1762,0,8617,313264,13553,5417,15341,5508,137.52717,1339.386487615,10621,17256,41657,100037,79,126371,257720,10379,1162.3508996,204533,89,79.25,72.02,100.31,NA
2025-2026,Sep,15,KARNATAKA,1527,UTTARA KANNADA,696328,362.950480787429,25,84,82.278553387,4716,0,14302,665762,38618,12894,24984,7223,235.0199,2733.684833287,26419,43189,78688,200275,29,206281,457426,19018,2416.3863799,361290,74,35.81,64.14,100.2,NA
2025-2026,Sep,15,KARNATAKA,1528,CHIKKABALLAPURA,1225743,371.3894425439,30,1300,246.177965025,5629,0,16714,1168379,237752,63654,155261,39682,230.35081,4815.765029925,38919,64716,113009,284590,187,224316,535900,22343,4339.2362549,623936,64,34.09,67.76,100.08,NA
2025-2026,Sep,15,KARNATAKA,1529,BENGALURU SOUTH,1700785,378.935902651055,27,112,236.886332394,7546,1,23717,807754,120100,41846,11354,4397,276.35246,3574.108703494,29777,46071,121578,272454,23,202267,429708,31263,3060.8699111,436014,79,50.44,67.87,101.14,NA
2025-2026,Sep,15,KARNATAKA,1501,BAGALKOTE,2187482,324.365206300198,25,1593,205.319015479,5237,0,14313,1839116,271768,54961,173650,24887,433.70001,6604.47143297894,71435,117917,141751,318136,66,278898,566619,19550,5965.45240749994,1074497,57,40.4,75.45,100.18,NA
2025-2026,Sep,15,KARNATAKA,1503,BENGALURU RURAL,764047,367.860196702621,33,346,201.674215373,2495,0,7119,612244,74773,22123,36428,7771,165.53521,2619.41140807299,18276,30262,53188,125762,29,122573,266617,9614,2252.20198269999,312618,62,47.65,69.45,100.01,NA
2025-2026,Sep,15,KARNATAKA,1512,DAVANAGERE,1281796,368.17864539568,28,239,161.31751124,2845,0,11186,1245515,302061,62011,230068,41881,349.87884,5096.91660644,43322,73132,112563,267314,51,242163,532672,14031,4585.7202552,661435,67,36.23,71.45,100.06,NA
2025-2026,Sep,15,KARNATAKA,1518,KODAGU,220376,356.689028443035,31,51,79.704687728,1257,2,3676,172239,11573,5508,8075,2752,98.72153,792.783833428,5472,9116,23482,56285,18,88676,192388,4933,614.3576157,85357,76,63.41,68.06,100.19,NA
2025-2026,Sep,15,KARNATAKA,1529,BENGALURU SOUTH,1700785,377.955761601066,27,112,236.886332394,7552,1,23735,812059,120932,41856,11395,4397,276.35246,3582.462570494,29875,46245,121588,272482,25,202269,429716,31287,3069.2237781,438406,79,50.42,67.8,101.14,NA
2025-2026,Sep,15,KARNATAKA,1511,DAKSHINA KANNADA,552955,366.789044501521,37,26,71.858636863,5518,0,9653,405694,16050,8852,19690,8983,190.01476,1749.914543063,10950,18325,57252,134306,110,173031,364247,15171,1488.0411462,215696,89,75.11,65.83,100.27,NA
2025-2026,Sep,15,KARNATAKA,1518,KODAGU,220376,356.047058922716,31,51,79.704687728,1256,2,3675,171988,11549,5507,8069,2752,98.72153,790.784433428,5465,9106,23481,56284,18,88676,192388,4931,612.3582157,85272,76,63.41,68.07,100.19,NA
2025-2026,Sep,15,KARNATAKA,1528,CHIKKABALLAPURA,1225743,371.416179255256,30,1300,246.177965025,5629,0,16713,1168267,237752,63654,155261,39682,230.35081,4815.661429925,38919,64716,113009,284590,187,224316,535900,22342,4339.1326549,623866,64,34.1,67.76,100.08,NA
2025-2026,Sep,15,KARNATAKA,1529,BENGALURU SOUTH,1700785,378.827342371564,27,112,236.886332394,7546,1,23701,807754,120100,41846,11354,4397,276.35246,3573.231803494,29777,46071,121578,272454,23,202267,429708,31247,3059.9930111,436014,79,50.44,67.87,101.14,NA
2025-2026,Sep,15,KARNATAKA,1501,BAGALKOTE,2187482,324.024767311012,25,1594,205.319015479,5271,0,14316,1843104,272933,54978,173883,24894,433.70001,6611.13247277895,71509,118067,141775,318209,66,278913,566659,19587,5972.11344729995,1076687,57,40.36,75.36,100.18,NA
2025-2026,Sep,15,KARNATAKA,1502,BENGALURU,32527,326.624295518773,26,1,16.851591089,303,2,1255,14862,3062,2407,432,274,32.6429,98.037393889,571,919,5343,12016,3,63204,141364,1558,48.5429028,7732,81,63.96,38.24,103.78,NA
2025-2026,Sep,15,KARNATAKA,1507,VIJAYPURA,1749339,370.51528921286,25,794,176.165351658,9006,2,29870,1441205,247723,59049,32445,5682,423.91179,5939.96201555821,57362,86541,139329,297362,47,357303,783014,38876,5339.88487390021,779349,73,63.3,80.23,100.02,NA
